2015-05-25,1667.5,1673.5,1656.5,1671.5,4181000,1671.5
2015-05-22,1650,1667.5,1638,1665,5035000,1665
2015-05-21,1663.5,1682,1647,1655.5,6380000,1655.5
2015-05-20,1653.5,1657.5,1643,1654.5,6237000,1654.5
2015-05-19,1650,1658,1626,1637.5,8915000,1637.5
2015-05-18,1596.5,1631,1589.5,1628.5,6182000,1628.5
2015-05-15,1599,1602.5,1577.5,1589,3797000,1589
2015-05-14,1580,1596.5,1577,1587,4409000,1587
2015-05-13,1560,1594,1560,1580.5,6611000,1580.5
2015-05-12,1602,1608,1570,1578.5,7897000,1578.5
2015-05-11,1598,1601,1586.5,1594.5,6398000,1594.5
2015-05-08,1538.5,1570.5,1538,1565,6753000,1565
2015-05-07,1543.5,1571,1543,1546.5,9579000,1546.5
2015-05-01,1562,1574,1535,1551,6333000,1551
2015-04-30,1650,1651.5,1562,1564,12679000,1564
2015-04-28,1556,1623.5,1556,1582,12445000,1582
2015-04-27,1554,1572.5,1550,1572.5,6680000,1572.5
2015-04-24,1581,1584,1568.5,1574.5,5307000,1574.5
2015-04-23,1582,1594.5,1580,1588.5,6331000,1588.5
2015-04-22,1567,1583.5,1566.5,1578.5,7326000,1578.5
2015-04-21,1540,1574,1539,1567,12741000,1567
2015-04-20,1513,1524.5,1500,1514.5,4797000,1514.5
2015-04-17,1525,1529,1513,1518.5,6988000,1518.5
2015-04-16,1511.5,1520,1505,1520,4649000,1520
2015-04-15,1503,1520,1500,1514.5,5877000,1514.5
2015-04-14,1500,1505.5,1493,1500,5800000,1500
2015-04-13,1510.5,1515,1502,1509.5,4514000,1509.5
2015-04-10,1520,1524,1508,1512,6814000,1512
2015-04-09,1513.5,1522,1507,1520,5794000,1520
2015-04-08,1509,1518.5,1504,1504.5,8298000,1504.5
2015-04-07,1473.5,1503,1470,1494.5,9026000,1494.5
2015-04-06,1452.5,1458,1445,1454,3622000,1454
2015-04-03,1453,1473.5,1451.5,1467.5,6385000,1467.5
2015-04-02,1432,1457,1427.5,1447.5,6347000,1447.5
2015-04-01,1420,1432,1412,1420.5,8189000,1420.5
