,2317,2327,3626,4307,4684,4726,4793,4812,8056,9613,9640,9682,9719,9739,9742
2015-08-14,62.72,64.43,54.53,63.65,58.35,40.06,48.7,50.14,60.15,56.11,51.59,52.44,62.24,54.13,47.37
2015-08-17,62.53,63.5,54.96,63.27,57.28,45.39,49.56,49.05,60.48,54.93,53.44,53.09,61.04,53.95,48.66
2015-08-18,63.1,61.94,54.54,62.68,55.9,47.98,50.32,48.86,61.01,56.34,53.88,52.31,59.34,53.96,47.85
2015-08-19,59.62,60.22,53.97,62.15,56.03,47.33,52.17,50.42,60.54,55.25,53.12,52.67,56.34,55.49,45.21
2015-08-20,58.91,60.04,54.62,61.66,56.16,48.5,50.2,52.27,60.0,53.76,53.24,51.66,56.63,56.74,44.44
2015-08-21,57.53,57.59,52.14,54.22,54.24,45.08,42.81,49.74,56.25,48.88,54.21,50.83,55.1,54.89,41.58
2015-08-24,52.7,50.8,47.51,44.21,50.6,39.58,43.51,45.32,52.44,46.23,49.54,48.37,54.08,50.98,38.29
2015-08-25,48.36,49.56,48.12,43.12,47.3,38.09,44.17,44.17,52.44,40.81,43.21,47.9,51.43,51.42,38.44
2015-08-26,48.53,53.89,49.38,49.38,47.73,42.09,46.22,48.8,52.68,46.72,42.15,48.06,53.58,51.43,39.51
2015-08-27,47.82,55.15,52.04,48.25,47.77,42.11,47.63,49.66,52.09,47.35,46.47,50.76,55.3,51.87,40.2
2015-08-28,47.71,56.26,53.52,52.26,47.62,43.85,49.48,50.59,51.94,49.41,47.96,53.02,55.24,51.29,42.87
2015-08-31,47.6,55.0,55.35,53.97,46.17,44.82,50.56,51.63,53.69,49.32,48.23,52.39,54.19,49.71,42.75
2015-09-01,44.88,51.99,53.76,49.49,43.62,44.21,51.66,50.03,51.56,46.13,46.62,48.72,49.18,47.65,41.82
